state_code,name
912800000000000000       ,Andhra Pradesh           
911800000000000000       ,Assam                    
911000000000000000       ,Bihar                    
912200000000000000       ,Chhattisgarh             
913000000000000000       ,Goa                      
912400000000000000       ,Gujarat                  
910600000000000000       ,Haryana                  
912000000000000000       ,Jharkhand                
912900000000000000       ,Karnataka                
913200000000000000       ,Kerala                   
912300000000000000       ,Madhya Pradesh           
913100000000000000       ,Lakshadweep              
912700000000000000       ,Maharashtra              
911500000000000000       ,Mizoram                  
912100000000000000       ,Odisha                   
910300000000000000       ,Punjab                   
912500000000000000       ,Daman & Diu              
910800000000000000       ,Rajasthan                
913300000000000000       ,Tamil Nadu               
910900000000000000       ,Uttar Pradesh            
910500000000000000       ,Uttarakhand              
911900000000000000       ,West Bengal              
910700000000000000       ,Nct Of Delhi             
912600000000000000       ,Dadra & Nagar Haveli     
913400000000000000       ,Puducherry               
911100000000000000       ,Sikkim                   
911700000000000000       ,Meghalaya                
911200000000000000       ,Arunachal Pradesh        
911300000000000000       ,Nagaland                 
911400000000000000       ,Manipur                  
911600000000000000       ,Tripura                  
910400000000000000       ,Chandigarh               
910200000000000000       ,Himachal Pradesh         
913500000000000000       ,Andaman & Nicobar Islands
913600000000000000       ,Telangana                
913700000000000000       ,Ladakh                   
910100000000000000       ,Jammu & Kashmir          
