,location_type,code,state,district,block,panchayat
1,state,02,ANDHRA PRADESH,,,
2,state,03,ARUNACHAL PRADESH,,,
3,state,04,ASSAM,,,
4,state,05,BIHAR,,,
5,state,33,CHHATTISGARH,,,
6,state,11,GUJARAT,,,
7,state,12,HARYANA,,,
8,state,13,HIMACHAL PRADESH,,,
9,state,14,JAMMU AND KASHMIR,,,
10,state,34,JHARKHAND,,,
11,state,15,KARNATAKA,,,
12,state,16,KERALA,,,
13,state,17,MADHYA PRADESH,,,
14,state,18,MAHARASHTRA,,,
15,state,20,MANIPUR,,,
16,state,21,MEGHALAYA,,,
17,state,22,MIZORAM,,,
18,state,23,NAGALAND,,,
19,state,24,ODISHA,,,
20,state,26,PUNJAB,,,
21,state,27,RAJASTHAN,,,
22,state,28,SIKKIM,,,
23,state,29,TAMIL NADU,,,
24,state,30,TRIPURA,,,
25,state,31,UTTAR PRADESH,,,
26,state,35,UTTRANCHAL,,,
27,state,32,WEST BENGAL,,,
28,state,01,ANDAMAN AND NICOBAR,,,
29,state,07,DADRA,,,
30,state,08,DAMAN,,,
31,state,10,GOA,,,
32,state,19,LAKSHADWEEP,,,
33,state,25,PONDICHERRY,,,
34,state,06,CHANDIGARH,,,
